Decade,ID,Name,Location,lat,lng,Start Year,End Year,ImageUrl,Url,Hotttnesss,HotttnessRank,Primary_Genre,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7,Genre8,Genre9,Genre10,Genre11,Genre12,Familiarity,FamiliarityRank,Discovery,DiscoveryRank,Similar1ID,Similar1ID,Similar1Name,Similar2ID,Similar2Name,Similar3ID,Similar3Name
1800-1810,ARWCAKO1187FB38932,Wolfgang Amadeus Mozart,"Salzburg, Salzburg, AT",13.0477,47.7972,1764,1791,2e7d4f7373412a29da4fa6ae4732396168662f9f.jpg,http://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart,0.690829,1759,classical christmas,classical,romantic,classical period,,,,,,,,,0.726453,471,0.390536267,147774,,AR005TP1187B9B9A20,Amadeus Mozart,ARVFIOO1187FB39078,Johann Sebastian Bach,ARIGDQZ1187FB44FAB,Ludwig van Beethoven
1800-1810,ARZCCGX11F4C83D6DE,Tomaso Albinoni,"Venice, Italy",12.3309,45.4389,1694,1751,d13868304b903ced2371bc14d5e05240a43cf1c2.jpg,http://www.myspace.com/tomasoalbinoni,0.622895,3765,classical,baroque,romantic,,,,,,,,,,0.425689,28276,0.575646063,2000,,ARANBBZ11F50C4AABA,Albinoni,ARF88YF1187FB5C95D,Tomaso Giovanni Albinoni,ARDI1X71187B9AED85,Antonio Vivaldi
1800-1810,AR8UYYT1187FB36431,Christoph Willibald Gluck,"Berching, Germany",11.4414,49.1069,1737,1787,ccf504aaea0388d64976b3dab0ab2e9f4f97b98d.jpg,http://www.myspace.com/christophwillibaldvongluck,0.611185,4550,baroque,classical christmas,classical period,classical,romantic,,,,,,,,0.564049,4893,0.462491468,36821,,AROO8NE1187FB49630,Luigi Boccherini,ARWEAFP12DA0D160D2,GLUCK,AR9HW5Q1187FB37C02,Giovanni Battista Pergolesi
1800-1810,AR86HR51187FB5BECF,Johann Pachelbel,"Nuremberg, Germany",11.0775,49.4542,1672,1706,27e8994ea4dbea61f8e07835fc362e73553e52ec.jpg,http://en.wikipedia.org/wiki/johann_pachelbel,0.60363,5229,classical christmas,baroque,classical,romantic,,,,,,,,,0.577793,4067,0.447069262,53088,,AR6N6EP1187B9B37CB,Georg Philipp Telemann,ARDI1X71187B9AED85,Antonio Vivaldi,ARSPLZD11F4C83BC8C,Franz Joseph Haydn
1800-1810,ARDI1X71187B9AED85,Antonio Vivaldi,"Venice, Italy",12.3309,45.4389,1705,1741,fb801d7ead4904d83ae66fd2d49818ea8f116504.jpg,http://www.classical.net/music/composer/works/vivaldi/index.php,0.597985,5794,classical christmas,classical,baroque,romantic,,,,,,,,,0.684094,932,0.368457736,202694,,ARSPLZD11F4C83BC8C,Franz Joseph Haydn,ARBWC0V1187FB5B450,Georg Friedrich Händel,ARANBBZ11F50C4AABA,Albinoni
1800-1810,AROO8NE1187FB49630,Luigi Boccherini,"Lucca, Italy",10.448116,44.006163,1757,1805,9577580a40b7188dd61e8d7073f5fe09c324dfed.jpg,http://www.last.fm/music/Luigi+Boccherini,0.56629,10426,baroque,classical period,classical,romantic,,,,,,,,,0.512214,9249,0.463186718,36175,,ARLYKFN11F50C4AAC6,Bocherini,ARF88YF1187FB5C95D,Tomaso Giovanni Albinoni,AR482PE1187FB4F855,Arcangelo Corelli
1800-1810,ARJ14TA1187B9B4CF9,Henry Purcell,"England, GB",74.592925,42.856558,1659,1695,1c39bc552b967af69066ca62242ba5f79857f36f.jpg,http://www.goldbergweb.com/es/magazine/composers/2002/03/316_print.php,0.565912,10501,baroque,classical,romantic,,,,,,,,,,0.579808,3946,0.417801859,90667,,ARPCCWV11F3462EC23,Purcell,ARMXI9S1187B99CBC7,Alessandro Scarlatti,AR6N6EP1187B9B37CB,Georg Philipp Telemann
1800-1810,ARHAMYR11F4C83D78C,George Frideric Handel,"London, England, GB",-81.233,42.9834,1685,1759,951581fff1b854a075e7d14d385677d60293d7df.jpg,http://en.wikipedia.org/wiki/George_Frideric_Handel,0.564576,10788,classical christmas,classical,baroque,romantic,,,,,,,,,0.588689,3526,0.410962176,102105,,ARBWC0V1187FB5B450,Georg Friedrich Händel,ARBBHWR11F4C83E385,Georg Friedrich Haendel,ARSRHDV12454A381D7,George Frederic Händel
1800-1810,AREDW1C1187B9ACAC2,Gaetano Donizetti,"San Diego, CA, US",-117.0431,32.7945,1797,1848,fa613afcb7db2285a4a875b3ddb71dc3c29988ed.jpg,http://www.myspace.com/giacommo,0.561558,11455,romantic,classical,opera,baroque,,,,,,,,,0.508242,9751,0.461980892,37322,,ARGCFMG11E2835D280,Donizetti,ARYWZLP1187FB4F7D3,Vincenzo Bellini,ARFK68R1187FB467F7,Giuseppe Verdi
1800-1810,ARTNRNK13B4FF6D4CA,Teleman,"Hamburg,Germany",9.94339,53.567666,1681,1767,8b2f3055cb15ff7bc452ed9a9c7d4c1cc9b88138.jpg,http://telemanmusic.com/,0.554881,13083,romantic,classical,opera,baroque,,,,,,,,,0.453054,19653,0.493733087,13717,,ARWZFBD12AF7DA0814,George Philipp Telemann,AR6N6EP1187B9B37CB,Georg Philipp Telemann,ARMGUWF146529C7827,Adult Jazz
