source,target,target,target,target,genre,imageurl,id
Adele,Joss Stone,Duffy,Amy Winehouse,pop,pop,cbbdfb209cc38b2999b1882f42ee642555316313.jpg,AR7J9AP1187FB5BD64
Alejandro Sanz,David Bisbal,Luis Fonsi,La Quinta Estación,latin,latin,72ac2ad66d1a6b8a740593527c5da8077cbf3818.jpg,ARQATCR1187FB4D3E6
Antonio Vivaldi,Franz Joseph Haydn,Georg Friedrich Händel,Albinoni,classical christmas,classical christmas,fb801d7ead4904d83ae66fd2d49818ea8f116504.jpg,ARDI1X71187B9AED85
Asha Bhosle,Mohammed Rafi,Lata Mangeshkar,Kishore Kumar,indian pop,indian pop,58e3f3fe88891c341ddec8a431f049b0d2d80cd0.jpg,ARITVXN1187FB40521
Avicii,Swedish House Mafia,Afrojack,Tim Berg,edm,edm,3e77006dc092166fee8b9004e4e1e1fabc045d93.jpg,ARWLAEE122BCFCA245
Banda El Recodo,La Arrolladora Banda El Limón,Sergio Vega,Julio Preciado,regional mexican,regional mexican,986a068303af8b336af8b1e39ebf7107234b4c35.jpg,ARP06NU1187FB37604
Bing Crosby,Dick Haymes,Perry Como,Johnny Mercer,christmas,christmas,29ad263783e79fef9116b6c97a2271901848e9f1.jpg,ARRL2QH1187B9AC814
Bob Dylan,The Band,Van Morrison,Tim Hardin,folk,folk,9fea3139e3d92557b6a065a201bd2a72c36ad20d.jpg,AR5FP401187FB523C9
Bruce Springsteen,Willie Nile,Patti Scialfa,Nils Lofgren,singer-songwriter,singer-songwriter,c27fe1b89d97db26b22d5b80f5df8592061090eb.jpg,AR91C8S1187B990901
Bryan Adams,Richard Marx,REO Speedwagon,Toto,mellow gold,mellow gold,4be3ce9447365df0b8653f941058ab3fd7177b25.jpg,ARRJES71187FB4D09E
Calvin Harris,The Presets,Simian Mobile Disco,Digitalism,electro house,electro house,49f4bb19a17ceb5906694a4c94df7ec79a763204.jpg,ARJRB241187FB556A3
Charles Gounod,Jules Massenet,Léo Delibes,Jacques Offenbach,romantic,romantic,2463e7119936cf1d19e5c8eb7644fe3f0fa32237.jpg,ARI28UN1187FB50184
Chayanne,Shayane,Cristian Castro,Ricardo Montaner,latin,latin,92c7b42d28b9ee8e85eed8d3786db27fa16904c5.jpg,AR8B79N1187B98FB4A
Christoph Willibald Gluck,Luigi Boccherini,GLUCK,Giovanni Battista Pergolesi,baroque,baroque,ccf504aaea0388d64976b3dab0ab2e9f4f97b98d.jpg,AR8UYYT1187FB36431
Coldplay,Keane,Snow Patrol,Thirteen Senses,permanent wave,permanent wave,a86ea149077b22239f41e8b17f7261c475b084ee.jpg,ARJ7KF01187B98D717
David Bowie,Roxy Music,Bryan Ferry,Tin Machine,glam rock,glam rock,c8dc28c191432862afce298216458a6f00bbfbd8.jpg,ARJA1841187FB3A029
David Guetta,Bob Sinclar,Swedish House Mafia,Guetta,house,house,224f5a395a8e2b4eee9feb41b9f6e7ac2d6b7c1a.jpg,ARH2QI91187FB3788D
Disney,The Muppets,Sesame Street,Raffi,children's music,children's music,58e3f3fe88891c341ddec8a431f049b0d2d80cd0.jpg,ARLNCBR1187FB58F3D
Dr. Dre,Snoop Dogg,2Pac,Xzibit,hip hop,hip hop,b2927ccac5cdef7147abbd3c8cc1439020c7698f.jpg,ARZER7I1187FB385AF
Drake,J. Cole,Big Sean,Wale,pop rap,pop rap,d1d6016c698703ba4933461ff5acbfe112877b48.jpg,ARODZUF11F4C841E1F
Duke Ellington,Count Basie,The Duke Ellington Band,Earl Hines,big band,big band,e9e25f9e482adf23cbd68ce65b93bfb796487f5e.jpg,ARMI36C1187B99A462
Ed Sheeran,Maverick Sabre,Professor Green,Newton Faulkner,pop,pop,0bc5997672464195cf333394782933dd64010512.jpg,ARSDWSZ122ECCB706A
Edvard Grieg,Camille Saint-Saëns,Antonín Dvo?ák,Bed?ich Smetana,classical,classical,5a434b6894d4e48995866aa31fa4f726e5773fa5.jpg,ARPSAX91187B9940E1
Ella Fitzgerald,Dinah Washington,Blossom Dearie,Sarah Vaughan,vocal jazz,vocal jazz,08088eb6f5096dba562ae21130f22160805baf1e.jpg,ARIJE1A1187B9A458D
Ellie Goulding,Marina and The Diamonds,La Roux,Florence + The Machine,pop,pop,b72e148adf8cec8bf91784bee05d836858546367.jpg,ARKTTJV12592CDA07F
Elvis Presley,Jerry Lee Lewis,Roy Orbison,Rick Nelson,rock-and-roll,rock-and-roll,16045a251c9e9f5772d4aeb3f6fa23fe4fdeb54a.jpg,ARULZ741187B9AD2EF
Erik Satie,Claude Debussy,Maurice Ravel,Camille Saint-Saëns,minimal,minimal,8df0ab319da424e35faec8aefe42666ff71b960e.jpg,AR5BFVK1187FB369A9
Felix Mendelssohn,Johannes Brahms,Franz Schubert,Brahms,classical christmas,classical christmas,26c5589f0d075be87cdcf66ebd3bdab0fe7e9138.jpg,ARRKD8Q1187FB49555
Fleetwood Mac,Christine McVie,Peter Frampton,The Doobie Brothers,mellow gold,mellow gold,675ffe882cfe489111ef712d054692b616740459.jpg,AR6BJ1V1187B9AE3B7
Frank Sinatra,Tony Bennett,Sammy Davis,Jr.Mel Torme,christmas,christmas,6e842df4553e17b5cfb4d5bf490f17c77a45c138.jpg,ARTASUV1187B9A2B67
Franz Liszt,Franz Schubert,Camille Saint-Saëns,Johannes Brahms,romantic,romantic,a13888f83f05b60b04c5ac5d34486b4afb8e0557.jpg,AR8KUJL1187FB46AD6
Fred Astaire,Judy Garland,Judy Garland and Liza Minnelli,Bing Crosby,tin pan alley,tin pan alley,aa8e4e98b59a13705e22118c565675307f0fa30b.jpg,AR40VWF1187FB3AD7F
Frédéric Chopin,Chopin,Edvard Grieg,Ludwig van Beethoven,classical,classical,0d17d03be762777bab45a3fdd9e9104ef9ad16cc.jpg,AR5V9Y81187FB57DBA
Gabriel Fauré,Gabriel Urbain Faure,Faure,Camille Saint-Saëns,classical,classical,e98eb7c80d664016cf8e04f0ab66603e7037be56.jpg,ARL1OBP1187B9B09E1
Gaetano Donizetti,Donizetti,Vincenzo Bellini,Giuseppe Verdi,romantic,romantic,fa613afcb7db2285a4a875b3ddb71dc3c29988ed.jpg,AREDW1C1187B9ACAC2
George Frideric Handel,Georg Friedrich Händel,Georg Friedrich Haendel,George Frederic Händel,classical christmas,classical christmas,951581fff1b854a075e7d14d385677d60293d7df.jpg,ARHAMYR11F4C83D78C
Henry Purcell,Purcell,Alessandro Scarlatti,Georg Philipp Telemann,baroque,baroque,1c39bc552b967af69066ca62242ba5f79857f36f.jpg,ARJ14TA1187B9B4CF9
Janet Jackson,Destiny's Child,Mariah Carey,Toni Braxton,urban contemporary,urban contemporary,5546c6243c4842c27ba2170288961c9b9bf4bc55.jpg,ART4QZC1187FB51612
Johann Pachelbel,Georg Philipp Telemann,Antonio Vivaldi,Franz Joseph Haydn,classical christmas,classical christmas,27e8994ea4dbea61f8e07835fc362e73553e52ec.jpg,AR86HR51187FB5BECF
Johann Strauss II,John Strauss,Johann Strauss,Johann Strauss I,romantic,romantic,13df907452086739d886713fa2005c8ec03ee340.jpg,ARVGS9B1187FB3D520
Johnny Cash,Merle Haggard,Willie Nelson,The Highwaymen,traditional country,traditional country,63e350b46a04447ea63400959d808360559da740.jpg,ARH861H1187B9B799E
Justin Bieber,Cody Simpson,Jason Derülo,Demi Lovato,teen pop,teen pop,ce41eb4beaad8d07fd55a68aba16b27e341a2e4f.jpg,ARFCWSZ123526A0AFD
Kishore Kumar,Kishore,Lata Mangeshkar,Mohammed Rafi,filmi,filmi,a27ed028a91a9502c0607d2dfd77849a0acf26f6.jpg,ARPF30C1187FB3EDF8
